observation_date,TRESEGCNM052N
1977-12-01,2345.00000000000
1978-01-01,
1978-02-01,
1978-03-01,2645.00000000000
1978-04-01,
1978-05-01,
1978-06-01,2612.00000000000
1978-07-01,
1978-08-01,
1978-09-01,2359.00000000000
1978-10-01,
1978-11-01,
1978-12-01,1557.00000000000
1979-01-01,
1979-02-01,
1979-03-01,1865.00000000000
1979-04-01,
1979-05-01,
1979-06-01,1888.00000000000
1979-07-01,
1979-08-01,
1979-09-01,1690.00000000000
1979-10-01,
1979-11-01,
1979-12-01,2154.00000000000
1980-01-01,
1980-02-01,
1980-03-01,2272.00000000000
1980-04-01,
1980-05-01,
1980-06-01,3761.03896366435
1980-07-01,3972.28837613656
1980-08-01,4004.02015058993
1980-09-01,4170.40089809093
1980-10-01,3721.42749369355
1980-11-01,3484.46909108530
1980-12-01,2545.17985904546
1981-01-01,2934.52877191730
1981-02-01,2973.33656332506
1981-03-01,2376.14760625456
1981-04-01,2573.94630359448
1981-05-01,3216.30999662096
1981-06-01,3822.10433663415
1981-07-01,4247.58151581457
1981-08-01,4960.15599668927
1981-09-01,3936.38566062516
1981-10-01,4429.06570902872
1981-11-01,4112.75067904899
1981-12-01,5058.08904285110
1982-01-01,5476.28099204692
1982-02-01,5175.33896806213
1982-03-01,5460.17586849418
1982-04-01,6076.68229035334
1982-05-01,6555.77967652291
1982-06-01,7287.12517091161
1982-07-01,8382.09278375425
1982-08-01,8804.10285094241
1982-09-01,9443.93711821041
1982-10-01,10165.92981994280
1982-11-01,10681.29906211530
1982-12-01,11348.87047335870
1983-01-01,11955.64067904200
1983-02-01,12308.16519183320
1983-03-01,12609.06356607490
1983-04-01,13192.48412728360
1983-05-01,13368.73256360750
1983-06-01,13212.13482638210
1983-07-01,13183.93919583230
1983-08-01,13749.05254391420
1983-09-01,14379.81708303970
1983-10-01,14596.54175703840
1983-11-01,14805.21639774460
1983-12-01,14986.65277758540
1984-01-01,15276.37938895830
1984-02-01,15470.25315976190
1984-03-01,16057.93377522850
1984-04-01,16553.42931997320
1984-05-01,16834.34027660850
1984-06-01,17108.96860981920
1984-07-01,17612.07453007040
1984-08-01,17204.25826521900
1984-09-01,17302.17182817180
1984-10-01,16967.43208733630
1984-11-01,16158.40742206440
1984-12-01,17366.03372965920
1985-01-01,15801.85735943240
1985-02-01,15507.17192746810
1985-03-01,14375.87034170880
1985-04-01,14033.75264394250
1985-05-01,14161.85066031180
1985-06-01,14298.46843429300
1985-07-01,12715.81242349430
1985-08-01,12224.20525138740
1985-09-01,13365.99807189090
1985-10-01,13008.94789635000
1985-11-01,13562.07560453010
1985-12-01,12728.14718804920
1986-01-01,11970.61637610140
1986-02-01,12005.64490215800
1986-03-01,11199.48084869040
1986-04-01,11816.66371109050
1986-05-01,11795.05128146510
1986-06-01,11362.03804712620
1986-07-01,11475.77466245050
1986-08-01,11447.25774216130
1986-09-01,11295.22719992230
1986-10-01,10900.83958088590
1986-11-01,11413.10050348570
1986-12-01,11452.99918045820
1987-01-01,10867.07643554320
1987-02-01,11170.06783646430
1987-03-01,11784.46682437040
1987-04-01,12487.19011416780
1987-05-01,12907.88710196200
1987-06-01,13550.76538097790
1987-07-01,13142.54323115330
1987-08-01,14348.15481301400
1987-09-01,14948.94314561020
1987-10-01,16196.33027280530
1987-11-01,16664.14170707920
1987-12-01,16304.94692788950
1988-01-01,16709.58296895500
1988-02-01,17406.54406260630
1988-03-01,18148.23255136440
1988-04-01,18569.83299882340
1988-05-01,18814.92026641550
1988-06-01,19143.20445609440
1988-07-01,19053.65285484620
1988-08-01,19006.71242705690
1988-09-01,18970.35263755550
1988-10-01,19036.54641381440
1988-11-01,19520.59442250670
1988-12-01,18541.33880582960
1989-01-01,18282.67258330930
1989-02-01,18889.47806322020
1989-03-01,18637.40433315670
1989-04-01,19103.49768725460
1989-05-01,18469.71844297970
1989-06-01,15092.72340213380
1989-07-01,14521.59933050080
1989-08-01,14482.78492452290
1989-09-01,15107.75281876700
1989-10-01,15952.32763423550
1989-11-01,16415.98991720000
1989-12-01,17959.86632323180
1990-01-01,18843.02189877780
1990-02-01,19916.09124188520
1990-03-01,22271.79082654730
1990-04-01,24113.88776586740
1990-05-01,25250.38730500270
1990-06-01,24369.28489726750
1990-07-01,25455.63182476170
1990-08-01,26122.93887988020
1990-09-01,26843.57178665920
1990-10-01,26666.30200881360
1990-11-01,26980.02061664460
1990-12-01,29586.16115861210
1991-01-01,30733.60259978770
1991-02-01,32348.35456560030
1991-03-01,34093.60818288300
1991-04-01,33924.71615135020
1991-05-01,35585.43631000270
1991-06-01,36140.02621132060
1991-07-01,38575.84648221770
1991-08-01,39853.31412527580
1991-09-01,40921.09439124490
1991-10-01,41480.05684690960
1991-11-01,43060.18846822960
1991-12-01,43674.29910311980
1992-01-01,42863.92098092640
1992-02-01,44381.42101193110
1992-03-01,44455.89849108370
1992-04-01,46311.41306194010
1992-05-01,48828.94087995870
1992-06-01,46123.94889299160
1992-07-01,26454.27751140890
1992-08-01,25433.78551833560
1992-09-01,24300.53988452930
1992-10-01,23845.18232176250
1992-11-01,23275.96664019060
1992-12-01,20620.36191510720
1993-01-01,21291.19560561050
1993-02-01,21434.89410890480
1993-03-01,20965.02893283950
1993-04-01,20815.69749298630
1993-05-01,20654.11578189530
1993-06-01,20059.17086905500
1993-07-01,20207.86250905710
1993-08-01,20375.75409289190
1993-09-01,20847.11586496250
1993-10-01,20911.07946972160
1993-11-01,22076.24180314110
1993-12-01,22386.84924355180
1994-01-01,26355.00262880310
1994-02-01,29065.11429450990
1994-03-01,29826.46258595650
1994-04-01,31368.85102929320
1994-05-01,31779.94401530720
1994-06-01,33100.32387838340
1994-07-01,36373.39894237320
1994-08-01,37561.65906623240
1994-09-01,41242.28866623820
1994-10-01,45004.17623847630
1994-11-01,50293.50465719980
1994-12-01,52914.06288439610
1995-01-01,56098.00458073430
1995-02-01,58718.61804601840
1995-03-01,59351.56491438330
1995-04-01,61406.26198375060
1995-05-01,62157.79483070000
1995-06-01,64226.86034760540
1995-07-01,67194.75212564880
1995-08-01,69086.97324109729
1995-09-01,71426.18197839940
1995-10-01,74656.31723698840
1995-11-01,76150.95341962911
1995-12-01,75376.70286951039
1996-01-01,77862.62138221069
1996-02-01,81560.68249417670
1996-03-01,82701.22626084030
1996-04-01,83681.87117711120
1996-05-01,86895.11294621220
1996-06-01,88605.88993370740
1996-07-01,91713.49613243800
1996-08-01,95214.97815411210
1996-09-01,97362.31880140370
1996-10-01,100858.84042733200
1996-11-01,104325.73911083800
1996-12-01,107039.42503940000
1997-01-01,110628.89254847501
1997-02-01,112219.43739171499
1997-03-01,113962.11560955799
1997-04-01,116285.67925819100
1997-05-01,119475.75387788699
1997-06-01,122825.29578880301
1997-07-01,127821.08133492200
1997-08-01,132289.37001169901
1997-09-01,136024.33700802899
1997-10-01,139901.30652155299
1997-11-01,141254.76880325601
1997-12-01,142762.46774615700
1998-01-01,143686.98863304601
1998-02-01,143734.21259714899
1998-03-01,143982.06800860801
1998-04-01,143375.27453338401
1998-05-01,144253.30972986901
1998-06-01,143956.91651220800
1998-07-01,144240.91728055800
1998-08-01,144566.41718230300
1998-09-01,145015.69220663601
1998-10-01,147711.16675562700
1998-11-01,148636.61103773199
1998-12-01,149187.89572312601
1999-01-01,149207.76811328300
1999-02-01,150410.67362603801
1999-03-01,150496.52036830099
1999-04-01,150727.04399319499
1999-05-01,150372.76943794699
1999-06-01,150565.33205267601
1999-07-01,152327.55834172299
1999-08-01,153996.09905014199
1999-09-01,154730.81370234801
1999-10-01,156021.74438875500
1999-11-01,156816.45619934099
1999-12-01,157727.87449199901
2000-01-01,159038.67928719701
2000-02-01,159491.07178137600
2000-03-01,159768.69762276800
2000-04-01,159503.22144242300
2000-05-01,160700.95311173800
2000-06-01,161285.02927839101
2000-07-01,161366.85259924299
2000-08-01,161723.91845141299
2000-09-01,162584.73806232700
2000-10-01,163801.11617333099
2000-11-01,166363.19289867900
2000-12-01,168277.58322584300
2001-01-01,171297.99646482200
2001-02-01,178004.33627500801
2001-03-01,178890.60712192100
2001-04-01,180226.39179943799
2001-05-01,182044.24466421301
2001-06-01,183861.42626947101
2001-07-01,187518.46702045601
2001-08-01,193173.32569071499
2001-09-01,199284.45932662199
2001-10-01,206519.60120957100
2001-11-01,211793.18685912699
